CaseMonth,OnStreet,Serious_and_Fatal_Injuries
1,ARLINGTON STREET,0
1,ARMBRUSTER ROAD,0
1,ARMSTRONG AVENUE,0
1,ARMSTRONG ROAD,0
1,ARNETT BOULEVARD,0
1,ARNOLD PARK,0
1,ARNOLD PIKE,0
1,ARONICA DRIVE,0
1,ARROWHEAD DRIVE,0
1,ARROWHEAD ROAD,0
1,ARROWHEAD WAY,0
1,ARROWHEAD WAY NORTH,0
1,ARROWHEAD WAY SOUTH,0
1,ARTHUR STREET,0
1,ARTHURIAN WAY,0
1,ARVINE HEIGHTS,0
1,ARVINE HTS,0
1,ARVINE PARK,0
1,ASBURY STREET,0
1,ASCOT DRIVE,0
1,ASCOTT LANE,0
1,ASHBOURNE ROAD,0
1,ASHBROOK CIRCLE,0
1,ASHLAND OAKS CIRCLE,0
1,ASHLAND STREET,0
1,ASHLEY DRIVE,0
1,ASHWOOD DRIVE,0
1,ASHWOOD KNOLL,0
1,ASHWOOD LANE,0
1,ASPEN DRIVE,0
1,ASPEN LOOK DRIVE,0
1,ASSEMBLY DRIVE,0
1,ASTER STREET,0
1,ASTON VILLA,0
1,ASTOR DRIVE,0
1,ASTRONAUT DRIVE,0
1,ATALANTIC AVENUE,0
1,ATCHINSON DRIVE,0
1,ATHENA DRIVE,0
1,ATHENS STREET,0
1,ATKINSON STREET,0
1,ATLANTIC AVENUE,1
1,ATLAS STREET,0
1,ATLEE DRIVE,0
1,ATTLEBORO ROAD,0
1,ATTRIDGE ROAD,1
1,ATWELL STREET,0
1,ATWOOD DRIVE,0
1,AUBURN AVENUE,0
1,AUDABON TERRACE,0
1,AUDINO LANE,0
1,AUDUBON STREET,0
1,AUDUBON TRAIL,0
1,AUGSTINE STREET,0
1,AUGUSTINE ROAD,0
1,AUGUSTINE STREET,0
1,AURAMAR DRIVE,0
1,AURORA STREET,0
1,AUSTIN PARK,0
1,AUSTIN STREET,0
1,AUTHORS AVENUE,0
1,AUTUMN BLAZE TRAIL,0
1,AUTUMN CHAPEL WAY,0
1,AUTUMN PLACE,0
1,AUTUMN TRAIL,0
1,AVACADO LANE,0
1,AVALON DRIVE,0
1,AVANTI DRIVE,0
1,AVENUE A,0
1,AVENUE B,0
1,AVENUE C,0
1,AVENUE D,1
1,AVENUE A WEST,0
1,AVENUE EAST,0
1,AVENUE EAST STREET,0
1,AVERIL AVENUE,0
1,AVERILL AVENUE,0
1,AVERILL COURT,0
1,AVERILL STREET,0
1,AVERY PARK LANE,0
1,AVERY STREET,0
1,AVION DRIVE,0
1,AVIS STREET,0
1,AVON PLACE,0
1,AVONDALE PARK,0
1,AVONDALE PIKE,0
1,AVONDALE ROAD,0
1,AVONMORE WAY,0
1,AVRILL AVENUE,0
1,AYER STREET,0
1,AYRAULT ROAD,0
1,AZALEA ROAD,0
1,B LOOP ROAD,0
1,BABCOCK DRIVE,0
1,BACHMAN ROAD,0
1,BACHUS STREET,0
1,BACKUS ROAD,0
1,BACKUS STREET,0
1,BADEN STREET,0
1,BADERS WAY,0
1,BADGERS WAY,0
1,BAIER DRIVE,0
1,BAILEY ROAD,2
1,BAINBRIDGE LANE,0
1,BAIRD ROAD,0
1,BAIRD STREET,0
1,BAKER AVENUE,0
1,BAKER ROAD,0
1,BAKER STREET,0
1,BAKERDALE ROAD,0
1,BAKERS LANE,0
1,BAKERS PARK,0
1,BALDWIN STREET,0
1,BALFOUR DRIVE,0
1,BALLAD AVENUE,0
1,BALLANTYN ROAD,0
1,BALLANTYNE ROAD,1
1,BALLOU PLACE,0
1,BALSAM LANE,0
1,BALSAM STREET,0
1,BALTA DRIVE,0
1,BAMBI LANE,0
1,BANBURY DRIVE,0
1,BANCROFT AVENUE,0
1,BANCROFT DRIVE,0
1,BANEBERRY WAY,0
1,BANGS ROAD,0
1,BANK PLACE,0
1,BANKER PLACE,0
1,BANKSIDE DRIVE,0
1,BANNERWOOD DRIVE,0
1,BARBARA LANE,0
1,BARBERRY TERRACE,0
1,BARBIE DRIVE,0
1,BARCLAY COURT,0
1,BARCLAY SQUARE DRIVE,0
1,BARCREST DRIVE,0
1,BARDIN STREET,0
1,BARKER ROAD,0
1,BARKER STREET,0
1,BARKWOOD LANE,0
1,BARLOW DRIVE,0
1,BARMONT DRIVE,0
1,BARN SWALLOW LANE,0
1,BARNARD STREET,0
1,BARNEY LANE,0
1,BARNS COURT,0
1,BARNUM STREET,0
1,BARONS STREET,0
1,BARRET DRIVE,0
1,BARRETT DRIVE,0
1,BARRETT PLACE,0
1,BARRINGER DRIVE,0
1,BARRINGTON HILLS,0
1,BARRINGTON PARK,0
1,BARRINGTON STREET,0
1,BARROW HILL,0
1,BARRY ROAD,0
1,BARRY STREET,0
1,BARTELL LANE,0
1,BARTHOLF ROAD,1
1,BARTLETT STREET,0
1,BARTON STREET,0
1,BASIN STREET,0
1,BASKET ROAD,0
1,BASS RUN LANE,0
1,BASTIAN ROAD,0
1,BASTIAN STREET,0
1,BATEAU TERRACE,0
1,BATTLE GREEN DRIVE,0
1,BAUER STREET,0
1,BAUERS CV,0
1,BAUMAN STREET,0
1,BAUMANN STREET,0
1,BAUMER PLACE,0
1,BAUSCH AND LOMB PLACE,0
1,BAUSCH STREET,0
1,BAUSH STREET,0
1,BAXTER DRIVE,0
1,BAY COLONY DRIVE,0
1,BAY FRONT LANE,0
1,BAY FRONT LANE NORTH,0
1,BAY FRONT NORTH,0
1,BAY FRONT SOUTH,0
1,BAY KNOLL ROAD,0
1,BAY MEADOW DRIVE,0
1,BAY ROAD,0
1,BAY SHORE BOULEVARD,0
1,BAY STREET,0
1,BAY VIEW ROAD,0
1,BAY VILLAGE DRIVE,0
1,BAYBERRY LANE,0
1,BAYCLIFF DRIVE,0
1,BAYCLIFF STREET,0
1,BAYCREST DRIVE,0
1,BAYLOR CIRCLE,0
1,BAYSIDE DRIVE,0
1,BAYTON DRIVE,0
1,BAYVIEW DRIVE,0
1,BAYVIEW ROAD,0
1,BAYWAY DRIVE,0
1,BEACH AVENUE,0
1,BEACH STREET,0
1,BEACON HILLS DRIVE NORTH,0
1,BEACON HILLS DRIVE SOUTH,0
1,BEACON HILLS DRIVE,0
1,BEACON STREET,0
1,BEACONSFIELD ROAD,0
1,BEADLE ROAD,0
1,BEAHAN ROAD,1
1,BEAKRUSH LANE,0
1,BEAMAN ROAD,0
1,BEARDSLEY STREET,0
1,BEAU LANE,0
1,BEAUCLAIRE LANE,0
1,BEAUFORT STREET,0
1,BEAUMONT ROAD,0
1,BEAVER CREEK DRIVE,0
1,BEAVER ROAD,1
1,BEAVER ROAD EXTENSION,0
1,BECKENHAM LANE,0
1,BECKWITH AVENUE,0
1,BECKWITH ROAD,0
1,BECKWITH TERRACE,0
1,BEDFORD STREET,0
1,BEDFORDSHIRE DRIVE,0
1,BEECH HOLW,0
1,BEECHCRAFT DRIVE,0
1,BEECHER STREET,0
1,BEECHWOOD DRIVE,0
1,BEECHWOOD STREET,0
1,BEL ARBOR TRAIL,0
1,BELCODA DRIVE,0
1,BELCODA ROAD,0
1,BELFORD DRIVE,0
1,BELGARD STREET,0
1,BELINDA CRESCENT,0
1,BELKNAP STREET,0
1,BELLA DRIVE,0
1,BELLAMY DRIVE,0
1,BELLECLAIR DRIVE,0
1,BELLECLAIRE DRIVE,0
1,BELLEVUE DRIVE,0
1,BELLWOOD DRIVE,0
1,BELLWOOD PLACE,0
1,BELMANOR DRIVE,0
1,BELMEADE ROAD,0
1,BELMONT ROAD,0
1,BELMONT STREET,0
1,BELMORE WAY,0
1,BELVEDERE DRIVE,0
1,BELVEDERE HTS,0
1,BELVISTA DRIVE,0
1,BEMIS WAY,0
1,BENDING BOUGH DRIVE,0
1,BENDING CREEK ROAD,0
1,BENDING OAK DRIVE,0
1,BENEDICT DRIVE,0
1,BENEDICT ROAD,0
1,BENJAMIN AVENUE,0
1,BENNETT AVENUE,0
1,BENNETT ROAD,0
1,BENNINGTON DRIVE,2
